Job Title,Company,Salary,Job Description,Work Location,Department,Employment Type,Shift,Experience,Education,Avg_Salary
Data Entry Analyst,Bhs Hotels And Resorts Llp,₹10000- ₹15000,"Data management, : Manage data and data storage systems, Microsoft Office applications like Word, Excel, and PowerPoint, Google Drive applications like Docs, Sheets, and Gmail, Social media skills, Hardware skills, Computer operators should have strong organizational and time management skills. They should also be able to learn and adapt to new tasks.","Hotel chandigarh heights, Sector 126, Model Town, Sahibzada Ajit Singh Nagar, Punjab, India",Admin / Back Office / Computer Operator,Full Time,Day Shift,Min. 3 years,12th Pass,12500
Data Analyst,ITG Telematics Private Limited,₹16000- ₹25000,"Collecting ,analysing and interpreting data to identify trends , patterns and insights that inform business decisions., Identify patterns , trends and insights within the data, Create reports , charts , and dashboards to communicate findings to stake holders using excel, Present Data Driven insights to inform business decisions, Ensure Data Accuracy, Go for client meetings and to gather requirement and give trainings","ITG telematics pvt ltd , B 3 e , Plot number 70 , rama road industrial area, kirti nagar , new delhi",Department,Employment type,Shift,Any experience,Graduate,20500
Data Analyst,Nirlogic Solutions OPC Private Limited,₹15000- ₹35000,"Job Title:, Data Entry, Data Analysis, and Strategic Analysis Specialist(Day / Night Shift), Location:, Bangalore, ,, Hyderabad, ,, Kochi, ,, Chennai, ,, Visakhapatnam, Company:, Nirlogic Solutions (OPC) Private Limited, About Us:, We are a dynamic and innovative gaming company with a passion for creating engaging and interactive experiences. Our team thrives on positivity, collaboration, and a strong work ethic, making our workspace one that fosters growth, creativity, and fun. As part of our growing team, you'll be at the heart of driving impactful insights that shape our game development strategies and business decisions., Job Overview:, We are currently looking for talented and motivated individuals to join our team as Data Entry, Data Analysis, and Strategic Analysis Specialists. This role is critical in driving data-driven decisions, monitoring game performance, and supporting strategic initiatives across the company. If you're passionate about gaming and have a keen eye for detail, this is the perfect opportunity for you., Key Responsibilities:, Perform data entry tasks to ensure accurate, timely input of information across various platforms., Assist in the creation and implementation of strategies based on data analysis to optimize gameplay, player retention, and monetization., Prepare and present reports on data findings to inform decision-making at various levels of the company., Stay up to date with industry trends and data analysis techniques, bringing fresh ideas to the table., Desired Skills & Qualifications:, Freshers Completed Bachelor's Degree, Strong experience in data entry, data analysis, and strategic analysis., Proficiency in Excel, Google Sheets, or other data management and analysis tools., Familiarity with gaming metrics and player behavior analysis is a plus., Excellent attention to detail and accuracy., Strong communication skills and the ability to work well in a team., Ability to think critically and problem-solve with data., Positive attitude, enthusiasm for gaming, and a collaborative mindset., Why Join Us?, Work in a fun and creative environment at a cutting-edge Environment., A positive, team-oriented atmosphere where your contributions are valued., Competitive salary and benefits package., Flexible working arrangements and a great work-life balance., Employee Loyalty Program, Employment Guarantee, Strong Position in the Market, LPA & Financial Growth, Career Growth, Referral Incentive","Palm Heights, 4th Floor, 5th Cross Rd, Vijaya Bank Colony, Banaswadi, Bangaluru, Karnataka-560043",Department,Employment type,Shift,Freshers only,Graduate,25000
Data Analyst,Quantum Soft IT Services,₹35000- ₹75000,"Key Responsibilities:, Collect, process, and analyze large datasets to identify trends, patterns, and insights., Prepare reports, dashboards, and visualizations to present findings to stakeholders., Conduct data quality checks and ensure the accuracy of the information., Collaborate with cross-functional teams to understand data needs and provide analytical support., Use statistical methods and software to interpret data and generate actionable insights., Create and maintain databases and data systems., Assist with data-driven decision-making processes and improve business performance., Qualifications:, Bachelor's degree in Data Science, Statistics, Computer Science, Mathematics, or related field., Proven experience as a Data Analyst or similar role., Proficient in data analysis tools (e.g., Excel, SQL, Python, R)., Experience with data visualization tools (e.g., Power BI, Tableau)., Strong analytical and problem-solving skills., Excellent attention to detail and ability to handle multiple tasks., Good communication skills and ability to present complex data in a clear and concise manner., Preferred Skills:, Familiarity with machine learning techniques and algorithms., Experience with data warehousing and ETL processes., Knowledge of big data platforms (e.g., Hadoop, Spark)., Benefits:, Competitive salary., Health and wellness benefits., Professional development opportunities.","Pune, Maharashtra, India",Data Science & Analytics,Full Time,Day Shift,Any experience,Graduate,55000
Data Analyst,SRV Associates,₹10000- ₹35000,"Key Responsibilities:, Track and tag client collections accurately., Prepare MIS reports and financial trackers., Verify financial data for No Dues and various NOCs., Reconcile collections from ledgers, receipts and bank statements., Prepare demand letters and possession notices., Identify and resolve discrepancies in collections and payments., Ensure adherence to accounting principles and tax compliance., Required:, Experience in finance and CRM operations., Strong analytical and documentation skills., Attention to detail and accuracy., Ability to multitask and manage deadlines.","7/79, Block 2, Double Storey, Block 2, Tilak Nagar, New Delhi, Delhi, 110018, India",Department,Employment type,Shift,Min. 2 years,12th Pass,22500
Data Management Specialist,Accenture India Private Limited,,"Data Eng, Mgmt & Governance Specialist, Skill required:, Data Management - Structured Query Language (SQL), Designation:, Data Eng, Mgmt & Governance Specialist, Qualifications:, BE/BTech, Years of Experience:, 7 to 11 years, About Accenture, Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and  Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries.  We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and  communities.Visit us at www.accenture.com, What would you do?, Data & AI, The role may require for you to work on SQL (Structured Query Language) which is a Domain-specific language used in programming and designed for querying and modifying data and managing databases., What are we looking for?, • Structured Query Language (SQL), • Google Cloud Platform (GCP), • Google BigQuery, • ETL, • Adaptable and flexible, • Problem-solving skills, • Strong analytical skills, • Prioritization of workload, • Ability to perform under pressure, Roles and Responsibilities:, • In this role you are required to do analysis and solving of moderately complex problems, • May create new solutions, leveraging and, where needed, adapting existing methods and procedures, • The person would require understanding of the strategic direction set by senior management as it relates to team goals, • Primary upward interaction is with direct supervisor, • May interact with peers and/or management levels at a client and/or within Accenture, • Guidance would be provided when determining methods and procedures on new assignments, • Decisions made by you will often impact the team in which they reside, • Individual would manage small teams and/or work efforts (if in an individual contributor role) at a client or within Accenture, • Please note that this role may require you to work in rotational shifts",Bengaluru,Data Science & Analytics,Full Time,Day Shift,Min. 7 years,NaN,17500
Data Management Specialist,Tata Consultancy Services (Tcs),,"DM Spoc, Responsibilities:, 1.To provide end to end data management services and project, management of studies., 2.Ensure compliance with SOPs and training., 3.Primary point of escalation for issue management., 4.Accountable for DM deliverables (including quality and, timing) on the project and will be required to provide regular status updates, on data completeness, cleanliness to the Data Manager., 5.Point of contact for client POC., 6.Attend meetings with Study Lead Data Manager (SLDM), as and when required, provide inputs to the required documents and activities, throughout the course of the trial., 7.Ensure that the timelines & quality are met as, per study requirement., 8.Resource estimation for the study and ensuring right, resources are available for the study based on requirement., 9.Risk identification, mitigation and issue escalation, to the appropriate stakeholders. Skillsets, Required:, 1.Ability to represent Data Management at all levels and is, capable of targeting information to the respective audience., 2.Ability to influence key project roles or Study Team, members to meet the overall goal of the study., 3.Ability to build influential networks with client and, stakeholder management., 4.Ability to develop solutions for cross functional, challenges., 5.Ability to identify and escalate resource needs within TCS, to enable successful completion of project goals., 6.Develops recommendations beyond own area of, expertise., 7.Knowledge of ICH GCP & CDISC requirements.",Mumbai,Healthcare / Doctor / Hospital Staff,Full Time,Day Shift,Min. 2 years,NaN,17500
Data Entry Analyst,Eclerx Services,,"Analyst_Data_Entry, Description, Proficiency in Typography and with good apptitude, Proficiency in analysing the data from various sources, Proficiency in communication, comprehension skills, Proficiency in critical thinking, problem solving, decision-making and attention to detail, Open to work for night shift / weekend / holidays since this is 24/7 process, Freshers / 0-1 Year experienced","Coimbatore, Coimbatore, Coimbatore, Tamil Nadu, India",Admin / Back Office / Computer Operator,Full Time,Day Shift,Any experience,NaN,17500
Data Associate,Amazon India Limited,,"Data Associate, Alexa Shopping, Alexa Shopping, Description, Alexa Shopping Operations strives to become the most reliable source for dataset generation and annotations. We work in collaboration with Shopping feature teams to enhance customer experience (CX) quality across shopping features, devices, and locales. Our primary focus lies in handling annotations for training, measuring, and improving Artificial Intelligence (AI) and Large Language Models (LLMs), enabling Amazon to deliver a superior shopping experience to customers worldwide. Our mission is to empower Amazon's LLMs through Reinforcement Learning from Human Feedback (RLHF) across various categories at high speed. We aspire to provide an end-to-end data solution for the LLM lifecycle, leveraging cutting-edge technology alongside our operational excellence. By joining us, you will play a pivotal role in shaping the future of the shopping experience for customers worldwide., We are seeking Data Associate for our annotation and data analysis operations team. This team plays a critical role in improving Alexa’s natural language understanding leading to improved CX quality metrics and positive business impact. The Data Associate must have a passion for data, efficiency, and accuracy and will work under the direction of Operations manager and Sr.Data Associates. Specifically, the Data Associate will:, ·         Process annotation & data analysis tasks with high efficiency and quality in a fast paced environment, ·         Deliver on assigned SLAs and KPIs like productivity, turnaround time, quality etc, ·         The tasks will be primarily repetitive in nature and will require the individual to make judgment-based decisions keeping in mind the guidelines provided in the SOP., ·         Contribute in team initiatives to improve overall process efficiency and quality, Key job responsibilities, The Data Associate will:, · Process annotation & data analysis tasks with high efficiency and quality in a fast paced environment, · Deliver on assigned SLAs and KPIs like productivity, turnaround time, quality etc, · The tasks will be primarily repetitive in nature and will require the individual to make judgment-based decisions keeping in mind the guidelines provided in the SOP., · Contribute in team initiatives to improve overall process efficiency and quality, Basic Qualifications, - Bachelor's degree, - Speak, write, and read fluently in English, Preferred Qualifications, - Knowledge of Microsoft Office products and applications, Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit, https://amazon.jobs/content/en/how-we-hire/accommodations, for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",Chennai,Data Science & Analytics,Full Time,Day Shift,Any experience,NaN,17500
Senior Business Intelligence Analyst,BMC SOFTWARE INDIA PVT LTD,,"Senior BI Analyst- Tableau Expert, Our Analytics and Automation team is at the forefront of leveraging data-driven insights to enhance business performance across sales, marketing, product development, and VSE. We specialize in harnessing advanced analytics and automation techniques to provide actionable intelligence, drive efficiency, and foster innovation. Our commitment to excellence ensures that we deliver impactful solutions that propel our organization's strategic goals forward., About You:, You like to develop, design, and deliver data visualization solutions that deliver sustained business value from our and associated solutions, You enjoy working cross-functionally across Sales, Marketing, Operations, and IT organizations for supporting the customer success organization, You’re a team player and believe in building synergies across BMC to create/continually evolve one integrated customer journey., You like to innovate, and have a passion for solving business problems, to continuously improve our quality of service, You have a passion for development, and challenge yourself to learn new things, You know how to have fun and connect with people., Key Responsibility/Role Expectations:, The Senior BI Analyst supports senior leadership by providing data-driven insights and analytics, enabling informed decision-making, and driving strategic initiatives to enhance customer success and align with business objectives. You should be responsible to, Design, develop, and maintain advanced and interactive Tableau dashboards to provide actionable insights into customer success metrics., Analyze customer behavior, trends, and performance metrics to identify actionable opportunities for improvement., Monitor key customer success indicators (e.g., retention, churn, satisfaction) and provide insights to drive enhanced customer engagement and satisfaction., Create visually compelling and interactive reports tailored for senior leadership to support data-driven strategic decision-making., Collaborate with cross-functional teams, including Customer Success, Product, and Support, to gather requirements and deliver tailored BI solutions., Integrate data from multiple sources (e.g., CRM systems like Salesforce, support tools, and internal databases) to create a unified view of performance., Provide data-driven recommendations to senior leadership to align customer success efforts with organizational objectives., Identify and report on key trends and anomalies in customer success data, proactively addressing potential challenges., Develop and implement automated workflows for reporting and analytics to enhance efficiency and reduce manual effort., Stay updated on Tableau and broader BI trends, implementing best practices in data visualization and analysis., Professional Experience:, Minimum of 7+ years of experience in Business Intelligence and data analysis., Expert proficiency in Tableau, with demonstrated ability to build advanced visualizations., Strong understanding of relational databases with expertise in advanced SQL writing., Proven ability to extract and analyze data from sources such as Snowflake, Excel, CSV, and text files., Proficient knowledge of Salesforce.com, with experience in CRM data analysis and integration., Advanced skills in Excel, PowerPoint, and Word for creating reports and presentations., Strong analytical skills to critically evaluate data, reconcile discrepancies, and ensure accuracy., Ability to translate user requirements into technical solutions and design effective BI implementations., Excellent organizational skills, with the ability to manage multiple complex projects in a fast-paced, dynamic environment., Self-motivated, detail-oriented, and able to deliver quality outcomes under tight deadlines., Strong communication and presentation skills to effectively collaborate with stakeholders, including senior leaders such as Sr. Directors and VPs., Demonstrated ability to influence and build long-term relationships with cross-functional teams and business partners., Experience mentoring and training team members on technical skills and BI best practices., Quick learner, adaptable to changing tools, environments, and priorities., Customer-oriented mindset, with a proven ability to partner with stakeholders to achieve shared business goals., Familiarity with programming languages like Python or R, cloud-based platforms like AWS are a plus., Basic understanding of machine learning concepts and predictive analytics is a bonus., Education, Bachelor’s or master’s degree in computer science, Information Systems, or a related field (Advanced degree preferred).",Pune,Data Science & Analytics,Full Time,Day Shift,Min. 7 years,NaN,17500
